"","V2185","V2214","V2215","V2222","V2220","V2211","V2205","V2206","V2207","V2208","V2120","V2224","V2221","V2203","V2204","V675","V674","V672","V2225","V1657","V855","V2413","V2416","V2124","V2412","V2210","V676","V2414","V853","V2212"
"Array.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.23",1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1
"Array.24",0,1,1,1,1,1,0,0,1,1,-1,1,1,0,0,-1,-1,-1,1,-1,-1,0,1,-1,0,1,-1,0,-1,1
"Array.25",1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,-1,0,-1,0,-1,0,1,1,0,1,1,-1,1,0,1
"Array.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
"Array.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
"Array.33",-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,2,0,0,0,-1,0,0,0,0,0,1
"Array.34",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,-1,-1,0,0,-1,0,0,-1,-1,0
"Array.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.36",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0
"Array.37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.38",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,0,-1,-1
"Array.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.4",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,-1,-1,0,0,-1
"Array.42",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,0,0,0,0,1,0,0,1,0,-1,0,0,1,-1
"Array.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.47",0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0
"Array.48",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
"Array.49",2,-1,-1,-1,-1,-1,2,2,-1,-1,0,-1,-1,1,1,-1,-1,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1
"Array.5",-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,0,1,-1
"Array.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,0
"Array.51",2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1
"Array.52",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,0,0,-1,1,-1,-1,0,1,-1,-1,0,-1,-1,0
"Array.53",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,0,-1,0,2,-1,-1,0,-1,-1,0,-1,2,1
"Array.55",2,-1,-1,0,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1
"Array.56",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1
"Array.57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Array.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.6",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1
"Array.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.62",0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
"Array.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,-1,0,-1,0,-1,-1,1,0
"Array.65",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,-1,-1,-1,0,-1,0,1,-1,-1,0
"Array.67",-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,-1
"Array.68",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1
"Array.7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0
"Array.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,-1,0,0
"Array.72",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
"Array.73",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0
"Array.75",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1
"Array.76",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1
"Array.78",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,1,-1,-1,-1,-1,0,0,0,0,1,0,-1,-1,0,0,-1
"Array.79",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,1,-1,-1,1,-1,0,-1
"Array.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.82",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,-1
"Array.85",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,0,0,-1,-1,1,-1,-1
"Array.86",-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,-1
"Array.88",1,0,0,1,1,0,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"Array.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.90",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,1
"Array.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,1,0,0,1,1,0
"Array.94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0
"Array.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0
"Array.98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,-1,1,1,0,1,0,1,1,-1,0
"Array.99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
